,cut,level,salary,years,price
13133,Premium,H,62,58,5433
13134,Premium,H,62.5,58,5433
13135,Premium,H,61.1,60,5433
13136,Premium,H,60.9,57,5434
13137,Very Good,G,61.3,60,5435
13138,Ideal,F,59.4,57,5436
13139,Ideal,E,62.1,57,5436
13140,Premium,F,62.5,59,5436
13141,Ideal,G,62.9,56,5436
13142,Premium,G,58.3,61,5436
13143,Ideal,E,61.5,55,5437
13144,Premium,H,61,59,5437
13145,Very Good,G,60.2,58,5438
13146,Premium,J,61.8,59,5438
13147,Good,G,59.7,61,5438
13148,Premium,E,59.4,59,5438
13149,Ideal,G,61.7,57,5439
13150,Ideal,E,62,59,5439
13151,Ideal,G,61.7,56,5439
13152,Premium,I,61.7,57,5439
13153,Premium,H,58.8,59,5439
13154,Ideal,J,61.5,57,5442
13155,Good,D,63.8,58,5443
13156,Premium,D,62.6,58,5443
13157,Good,D,61.7,62,5443
13158,Ideal,D,61.2,57,5443
13159,Very Good,D,62.9,59,5443
13160,Good,D,63.1,60,5443
13161,Good,D,61.8,60,5443
13162,Very Good,D,61.6,60,5443
13163,Very Good,H,63.5,58,5443
13164,Ideal,J,62.3,56,5443
13165,Ideal,E,59.2,55,5444
13166,Very Good,I,61.4,63,5444
13167,Ideal,G,61.9,55,5444
13168,Premium,E,60.7,59,5445
13169,Premium,E,62.6,60,5445
13170,Premium,E,61.9,60,5445
13171,Very Good,E,63.7,55,5445
13172,Fair,F,63.4,60,5445
13173,Ideal,G,60.5,55,5445
13174,Premium,J,59.4,60,5446
13175,Good,I,63.6,55.1,5446
13176,Very Good,H,60.9,58,5447
13177,Very Good,E,58.8,61,5447
13178,Good,I,64.1,58,5449
13179,Premium,H,61.7,58,5450
13180,Very Good,H,62.4,58,5450
13181,Very Good,J,62.3,55,5450
13182,Ideal,E,62,56,5450
13183,Very Good,D,62.6,57,5451
13184,Very Good,I,62.2,57,5451
13185,Ideal,G,62,55,5451
13186,Very Good,G,61.4,63,5451
13187,Ideal,J,62.8,56,5451
13188,Very Good,J,62.6,57,5452
13189,Very Good,I,62.9,55,5452
13190,Ideal,G,60.5,55,5452
13191,Very Good,E,60.9,61,5453
13192,Premium,G,61.6,58,5453
13193,Ideal,G,60.2,57,5453
13194,Premium,H,61.2,58,5454
13195,Premium,H,62.4,58,5454
13196,Very Good,J,61.8,60,5455
13197,Very Good,I,62.9,53,5455
13198,Very Good,H,61,59,5455
13199,Ideal,J,61.4,57,5455
13200,Premium,F,61,59,5455
13201,Ideal,I,61.8,54,5455
13202,Very Good,I,60.4,58,5456
13203,Very Good,H,62.2,59,5456
13204,Very Good,E,63.2,60,5456
13205,Ideal,D,62.6,57,5456
13206,Ideal,H,62.3,55,5456
13207,Ideal,H,61.6,56,5456
13208,Very Good,I,60.6,56,5457
13209,Ideal,F,62,55,5457
13210,Ideal,H,60.7,56,5457
13211,Ideal,E,62.2,56,5457
13212,Ideal,H,62.7,56,5457
13213,Premium,I,60.4,59,5457
13214,Premium,H,59.3,59,5458
13215,Ideal,E,61.9,56,5458
13216,Ideal,E,61.9,55,5458
13217,Good,I,64.4,61,5458
13218,Premium,G,62.1,59,5458
13219,Premium,H,61.9,58,5458
13220,Very Good,H,63.1,58,5458
13221,Ideal,J,61.4,56,5459
13222,Fair,H,55.8,60,5460
13223,Fair,D,64.7,62,5460
13224,Premium,G,61.7,55,5460
13225,Very Good,E,60,60,5461
13226,Very Good,E,62.1,56,5461
13227,Ideal,G,62.9,56,5461
13228,Premium,H,61,60,5461
13229,Premium,H,60.8,62,5461
13230,Very Good,I,62.2,58,5463
13231,Premium,J,61.7,59,5463
13232,Premium,I,61.3,59,5464
13233,Premium,H,63,57,5465
13234,Premium,I,59,61,5466
13235,Premium,I,62.2,57,5466
13236,Premium,I,62.1,59,5466
13237,Premium,H,60.2,56,5466
13238,Premium,H,62.7,59,5468
13239,Premium,H,59,59,5468
13240,Premium,H,62.1,59,5469
13241,Ideal,I,62.3,58,5469
13242,Ideal,H,61.7,56,5469
13243,Good,D,64.9,53,5469
13244,Premium,E,60.8,60,5470
13245,Ideal,E,62.4,57,5473
13246,Very Good,G,60.2,63,5474
13247,Premium,I,62.1,59,5474
13248,Fair,G,66.6,55,5475
13249,Very Good,D,62.3,56,5476
13250,Very Good,I,62.6,57,5476
13251,Ideal,E,62.1,56,5476
13252,Ideal,E,61.3,57,5476
13253,Premium,H,60.7,59,5476
13254,Premium,I,62.6,59,5477
13255,Ideal,I,61.7,56,5478
13256,Very Good,E,64.1,56,5479
13257,Very Good,H,62.4,56,5480
13258,Very Good,G,62,56,5480
13259,Good,F,61.8,63,5480
13260,Premium,H,60.2,59,5480
13261,Premium,J,62.5,55,5480
13262,Very Good,F,60.6,60,5481
13263,Good,G,62.2,63,5483
13264,Premium,F,60.1,61,5483
13265,Ideal,H,62.3,56,5483
13266,Good,G,63.7,59,5484
13267,Premium,F,62.9,55,5484
13268,Very Good,G,62.3,59,5484
13269,Good,G,63.7,57,5484
13270,Good,G,56.6,61,5484
13271,Fair,G,67.6,57,5484
13272,Fair,G,63.7,55,5484
13273,Ideal,G,62.2,56,5484
13274,Premium,E,62,61,5485
13275,Premium,E,60.8,58,5485
13276,Very Good,H,63.2,55,5486
13277,Ideal,I,61.9,55,5486
13278,Ideal,F,62,56,5486
13279,Good,F,57.3,62,5487
13280,Good,H,62.8,58,5487
13281,Fair,G,64.8,56,5487
13282,Premium,G,58.3,59,5487
13283,Premium,F,61,59,5487
13284,Fair,J,66,57.1,5488
13285,Premium,D,61.3,54,5488
13286,Premium,D,59.5,60,5488
13287,Premium,D,62.1,58,5488
13288,Premium,D,61.5,60,5488
13289,Premium,D,62.1,61,5488
13290,Ideal,D,61.7,57,5489
13291,Ideal,J,62.7,55,5489
13292,Premium,J,60,60,5489
13293,Very Good,I,63.7,56,5490
13294,Good,H,63.7,59,5490
13295,Very Good,F,59.6,60,5491
13296,Very Good,F,58.8,57,5491
13297,Ideal,D,60.5,58,5491
13298,Premium,D,61.8,57,5491
13299,Ideal,E,61.7,55,5491
13300,Good,H,63.7,58,5492
13301,Ideal,E,60.5,56,5493
13302,Very Good,E,62.2,56,5494
13303,Ideal,E,61.1,55,5494
13304,Ideal,F,61.3,56,5495
13305,Ideal,H,61.2,56,5496
13306,Ideal,G,62.4,56,5496
13307,Good,D,63.3,58,5497
13308,Ideal,E,61.9,56,5497
13309,Good,D,63.5,61,5497
13310,Very Good,I,61.6,59,5497
13311,Very Good,G,62.9,58,5497
13312,Ideal,G,61.1,58,5497
13313,Good,G,62,61,5497
13314,Very Good,D,62.6,58,5498
13315,Ideal,H,62.1,56,5498
13316,Premium,H,62.4,59,5498
13317,Very Good,E,62.9,60,5499
13318,Good,E,63.3,55,5499
13319,Very Good,E,62.8,57,5499
13320,Very Good,E,62.9,58,5499
13321,Premium,J,62,58,5500
13322,Premium,E,61.6,59,5500
13323,Good,G,63.3,60,5500
13324,Very Good,I,58.9,58,5500
13325,Very Good,F,59.8,58,5500
13326,Ideal,H,62.3,56,5501
13327,Good,D,57.6,60,5501
13328,Fair,F,65.5,62,5501
13329,Ideal,D,62.2,57,5501
13330,Very Good,H,62.6,59,5502
13331,Premium,I,62.2,59,5502
13332,Ideal,H,61,57,5502
13333,Ideal,H,61.7,56,5502
13334,Premium,F,61.5,59,5504
13335,Very Good,G,61.2,58,5504
13336,Very Good,F,61,63,5504
13337,Ideal,J,60.8,57,5504
13338,Premium,J,61.9,55,5504
13339,Premium,D,58.8,58,5504
13340,Ideal,D,60.4,55,5504
13341,Ideal,G,61.1,57,5504
13342,Fair,G,64.6,54,5504
13343,Premium,I,60.9,58,5504
13344,Good,F,63.4,56,5505
13345,Very Good,F,61.9,59,5505
13346,Ideal,H,59.8,58,5505
13347,Premium,G,62.7,58,5506
13348,Ideal,I,61.7,55,5506
13349,Premium,H,62,58,5506
13350,Very Good,E,63.1,61,5508
13351,Very Good,D,60.2,59,419
13352,Very Good,D,63,57,419
13353,Very Good,E,60.1,58,419
13354,Very Good,E,63.5,53,419
13355,Very Good,E,62.1,58,419
13356,Very Good,E,63.1,56,419
13357,Very Good,E,63,58,419
13358,Very Good,E,61.5,58,419
13359,Very Good,E,62.1,59,419
13360,Very Good,F,61.4,58,419
13361,Very Good,F,62.4,58,419
13362,Very Good,F,62.9,58,419
13363,Very Good,F,59.6,58,419
13364,Very Good,F,61.9,59,419
13365,Very Good,F,59.9,58,419
13366,Very Good,F,63,58,419
13367,Very Good,F,62.5,58,419
13368,Very Good,F,63,59,419
13369,Very Good,E,62.4,59,419
13370,Very Good,E,59.8,58,419
13371,Very Good,D,61.4,58,419
13372,Very Good,D,62.2,58,419
13373,Very Good,D,62.9,56,419
13374,Ideal,F,62.2,57,419
13375,Ideal,F,61.2,57,419
13376,Ideal,F,61.3,56,419
13377,Very Good,D,59.6,63,420
13378,Very Good,D,63.3,57,420
13379,Ideal,H,61.5,56,420
13380,Ideal,H,61.9,54,420
13381,Ideal,F,62,53.7,601
13382,Ideal,F,62.3,53.5,601
13383,Ideal,F,62.5,53.3,601
13384,Ideal,D,61,58,601
13385,Ideal,E,60.1,57,601
13386,Ideal,J,61.9,54,601
13387,Fair,E,65.6,60,601
13388,Good,D,63.3,56,601
13389,Premium,D,61.5,58,601
13390,Ideal,D,62.1,57,601
13391,Ideal,G,61.6,55,602
13392,Ideal,G,61.2,56,602
13393,Ideal,F,62.1,56,602
13394,Very Good,F,59.7,62,602
13395,Good,F,63.3,57,602
13396,Ideal,G,61.9,55,602
13397,Very Good,F,58.8,62,602
13398,Ideal,F,61.9,55,602
13399,Ideal,G,60.7,56,602
13400,Very Good,F,63,57,602
13401,Ideal,F,62.4,57,602
13402,Very Good,G,61.2,62,602
13403,Premium,H,62.2,58,602
13404,Very Good,F,61.2,58,602
13405,Premium,F,59.5,60,602
13406,Very Good,H,60,57,603
13407,Very Good,E,62.7,53,603
13408,Very Good,F,63.1,59,603
13409,Very Good,J,58.9,59,603
13410,Ideal,I,61.2,56,603
13411,Very Good,H,60.1,59,5508
13412,Ideal,H,61.1,56,5509
13413,Ideal,E,62.3,54,5509
13414,Ideal,H,62.9,57,5510
13415,Premium,I,60.7,59,5510
13416,Premium,H,62.4,57,5510
13417,Ideal,H,63.8,57,5510
13418,Ideal,I,61.8,57,5510
13419,Ideal,I,61.8,56,5510
13420,Premium,J,62.7,58,5510
13421,Premium,I,61.1,58,5510
13422,Very Good,G,62.3,62,5511
13423,Very Good,D,63.4,58,5511
13424,Very Good,J,61.7,60,5513
13425,Good,F,59,60,5514
13426,Very Good,H,62.9,59,5515
13427,Premium,H,61.1,58,5515
13428,Good,H,63.8,59,5515
13429,Premium,E,62.8,59,5515
13430,Very Good,H,63.2,58,5516
13431,Ideal,I,60.3,57,5516
13432,Ideal,E,62.1,56,5516
13433,Ideal,H,61.8,54,5517
13434,Premium,J,62.6,59,5518
13435,Very Good,G,61.7,59,5518
13436,Ideal,G,61.6,55,5518
13437,Very Good,G,62.5,60,5519
13438,Ideal,J,60.6,56,5519
13439,Ideal,G,60.9,57,5519
13440,Premium,I,62.4,59,5519
13441,Very Good,F,63.4,58,5520
13442,Premium,H,60.7,59,5520
13443,Ideal,G,61.4,56,5520
13444,Premium,I,61.7,58,5521
13445,Very Good,F,63.3,58,5521
13446,Very Good,H,62.9,57,5521
13447,Ideal,H,61.9,57,5521
13448,Very Good,G,61,56.7,5522
13449,Very Good,I,62.6,59,5522
13450,Ideal,H,60.9,57,5522
13451,Premium,H,62.5,59,5523
13452,Premium,H,62,59,5523
13453,Very Good,I,61.8,58,5524
13454,Very Good,H,58.1,62,5524
13455,Fair,J,65.2,56,5524
13456,Very Good,F,62.9,54,5525
13457,Premium,E,60.7,58,5525
13458,Ideal,E,62.7,56,5526
13459,Good,D,57.7,62,5526
13460,Very Good,G,63.1,58,5526
13461,Ideal,F,62,54,5527
13462,Ideal,F,62.5,57,5527
13463,Very Good,F,63.3,58,5528
13464,Ideal,E,62.4,57,5528
13465,Premium,G,60.3,58,5529
13466,Very Good,J,62.7,58,5530
13467,Very Good,E,61.8,60,5530
13468,Very Good,I,60.7,58,5531
13469,Ideal,E,62.3,55,5531
13470,Premium,J,61.7,60,5531
13471,Premium,D,58.9,58,5532
13472,Ideal,G,61.7,54,5532
13473,Very Good,D,59.7,57,5533
13474,Fair,G,64.9,59,5533
13475,Very Good,E,59.5,57,5534
13476,Premium,G,60.2,58,5534
13477,Ideal,I,61.7,57,5534
13478,Ideal,J,61.3,56,5534
13479,Ideal,F,62.7,57,5534
13480,Ideal,E,62,56,5534
13481,Ideal,E,60.8,56,5534
13482,Premium,F,58.4,61,5535
13483,Premium,E,59.4,59,5535
13484,Ideal,G,62.6,56,5535
13485,Ideal,I,62.4,57,5535
13486,Ideal,D,62.1,55,5535
13487,Good,G,61.4,65,5535
13488,Premium,J,62.1,57,5536
13489,Ideal,E,61.4,57,5537
13490,Very Good,H,63,57,5537
13491,Very Good,G,61.3,62,5538
13492,Good,G,63.2,64,5538
13493,Fair,G,64.5,57,5538
13494,Premium,G,58.1,59,5538
13495,Very Good,E,62.5,57,5539
13496,Ideal,D,61.4,56,5539
13497,Ideal,D,61.7,55,5539
13498,Ideal,D,60.7,57,5539
13499,Ideal,D,61.3,56,5539
13500,Ideal,D,61.1,55,5539
13501,Ideal,G,62.1,56,5540
13502,Premium,I,61.2,59,5540
13503,Premium,J,60.2,57,5541
13504,Very Good,D,61.5,61,5542
13505,Ideal,D,61.2,57,5543
13506,Premium,D,61.6,60,5543
13507,Premium,D,61.7,62,5543
13508,Premium,D,61.8,60,5543
13509,Good,D,63.8,58,5543
13510,Very Good,D,63.1,60,5543
13511,Premium,G,62.5,58,5543
13512,Premium,D,60,60,5543
13513,Premium,D,62.9,59,5543
13514,Premium,D,62.6,58,5543
13515,Premium,E,59.8,59,5543
13516,Premium,E,60.3,62,5544
13517,Very Good,E,62.4,62,5544
13518,Premium,F,61.9,60,5544
13519,Good,G,62.9,56,5544
13520,Very Good,G,62.7,58,5544
13521,Good,E,63.3,55,5544
13522,Good,H,60.1,61,5544
13523,Good,D,65.1,57,5544
13524,Good,H,61.3,64,5544
13525,Ideal,I,61.7,56,5544
13526,Premium,E,61.9,60,5544
13527,Premium,E,60.7,59,5544
13528,Premium,E,62.6,60,5544
13529,Ideal,I,61.7,57,5544
13530,Premium,H,59.6,58,5544
13531,Ideal,G,61.9,55,5545
13532,Premium,J,60.9,59,5546
13533,Ideal,E,62,57,5546
13534,Good,D,60.5,60,5546
13535,Premium,J,59.4,60,5546
13536,Ideal,I,63.6,55,5546
13537,Premium,I,62.3,56,5547
13538,Ideal,D,61.6,55,5547
13539,Very Good,D,63,58,5547
13540,Premium,E,58.8,61,5547
13541,Ideal,G,62.2,56,5548
13542,Ideal,D,61.4,56,5548
13543,Premium,G,62.3,59,5548
13544,Very Good,H,61.4,61,5548
13545,Very Good,D,59.9,58,5548
13546,Ideal,F,60.1,59,5549
13547,Premium,H,62.5,58,5549
13548,Premium,H,62.4,58,5550
13549,Very Good,G,63.4,58,5550
13550,Premium,I,61.2,57.1,5550
13551,Ideal,H,59.8,59,5550
13552,Very Good,H,63,54,5551
13553,Very Good,D,63,59,5551
13554,Ideal,D,62.4,57,5551
13555,Ideal,G,62.2,56,5551
13556,Fair,E,58.1,59,5551
13557,Ideal,I,62.2,57,5551
13558,Premium,D,62,58,5551
13559,Premium,D,62.6,57,5551
13560,Ideal,G,62,55,5551
13561,Ideal,E,62.2,57,5553
13562,Very Good,E,59.2,56,5553
13563,Fair,F,66.6,60,5554
13564,Premium,H,61.2,57,5554
13565,Ideal,H,62.2,55,5554
13566,Premium,H,61.2,58,5554
13567,Good,H,63.3,57,5555
13568,Ideal,G,62.7,57,5555
13569,Ideal,G,63,57,5555
13570,Ideal,E,61.4,57,5555
13571,Ideal,E,61.7,57,5555
13572,Ideal,E,61.4,58,5555
13573,Premium,I,60.4,58,5555
13574,Very Good,G,59.6,60,5556
13575,Very Good,E,60,60,5556
13576,Ideal,I,60.6,55,5556
13577,Premium,I,62.3,59,5556
13578,Premium,G,59.5,62,5556
13579,Premium,J,59.5,60,5556
13580,Ideal,F,62.2,55,5556
13581,Premium,I,60.6,56,5556
13582,Very Good,I,60.8,59,5557
13583,Very Good,D,63.4,55,5557
13584,Premium,F,61.8,56,5557
13585,Premium,F,60.3,60,5557
13586,Ideal,F,62,55,5557
13587,Premium,F,61.6,57,5557
13588,Very Good,G,62.8,60,5558
13589,Very Good,H,62.8,59,5559
13590,Ideal,G,62.1,57,5559
13591,Premium,F,60.6,58,5559
13592,Good,F,63.1,56,5560
13593,Very Good,F,61,59,5560
13594,Premium,F,59.6,58,5561
13595,Good,F,63.4,56,5561
13596,Premium,H,61.2,59,5561
13597,Very Good,I,61.1,58,5562
13598,Very Good,G,62.4,56,5562
13599,Very Good,D,63.5,57,5562
13600,Ideal,G,58.9,60,5562
13601,Ideal,G,61.6,57,5564
13602,Ideal,G,59.2,56,5564
13603,Very Good,H,62.4,57,5565
13604,Very Good,E,62.8,59,5565
13605,Very Good,H,62.8,58,5567
13606,Good,D,60.4,65,5567
13607,Premium,J,61,59,5569
13608,Premium,J,61.9,56,5569
13609,Premium,H,58.5,57,5569
13610,Premium,H,62.1,59,5569
13611,Ideal,H,62.2,56,5569
13612,Very Good,F,62.3,57,5570
13613,Good,I,57.8,61,5570
13614,Ideal,G,61.9,53,5570
13615,Very Good,E,62.4,59,5571
13616,Ideal,E,61.9,56,5571
13617,Premium,H,62.8,59,5571
13618,Premium,H,59.4,61,5572
13619,Premium,J,60.8,60,5572
13620,Very Good,G,59.9,58,5572
13621,Ideal,I,61.4,58,5572
13622,Premium,H,62.4,57,5573
13623,Premium,F,62,60,5574
13624,Good,E,58.4,60,5575
13625,Very Good,J,59.9,56,5576
13626,Good,H,64,58,5576
13627,Ideal,G,62.6,56,5576
13628,Ideal,H,62.7,55,5577
13629,Ideal,H,62.7,57,5577
13630,Ideal,I,62,55,5577
13631,Ideal,I,60.1,56,5578
13632,Ideal,H,62.7,55,5578
13633,Very Good,I,58.6,63,5579
13634,Premium,H,61,58,5579
13635,Premium,H,60.9,60,5580
13636,Premium,F,60.4,62,5580
13637,Premium,G,60.1,60,5581
13638,Premium,G,62,57,5581
13639,Premium,F,60.6,60,5581
13640,Very Good,I,60.8,57,5582
13641,Premium,H,59.6,59,5582
13642,Ideal,H,62.7,57,5583
13643,Premium,F,62.8,60,5583
13644,Very Good,I,63,57,5584
13645,Very Good,F,63.2,56,5584
13646,Very Good,I,60,59,5584
13647,Very Good,H,59.6,59,5585
13648,Ideal,J,60.6,56,5586
13649,Ideal,F,60.6,59,5586
13650,Very Good,H,63.5,57,5586
13651,Very Good,G,62.2,59,5587
13652,Ideal,I,60.1,62,5587
13653,Ideal,I,60.8,56,5587
13654,Very Good,J,63.9,56,5588
13655,Good,J,63.4,60,5588
13656,Premium,I,60.9,59,5588
13657,Premium,I,61.3,59,5588
13658,Ideal,H,62.5,56,5589
13659,Ideal,E,61.6,59,5590
13660,Very Good,H,61.2,57,5592
13661,Good,F,62.5,57,5592
13662,Premium,H,62.4,59,5592
13663,Good,H,63.7,58,5592
13664,Very Good,H,62,60,5593
13665,Ideal,I,61.3,57,5593
13666,Very Good,E,60,54,5593
13667,Premium,G,62.9,58,5593
13668,Very Good,H,60.8,59,5595
13669,Very Good,H,62.7,61,5595
13670,Premium,H,61.4,58,5595
13671,Very Good,G,61.2,58,5595
13672,Ideal,E,61.4,56,5595
13673,Ideal,F,61.3,56,5595
13674,Ideal,F,62.4,56,5596
13675,Very Good,D,62.5,56,5597
13676,Good,G,63.8,58,5597
13677,Very Good,H,62.8,59,5598
13678,Good,H,59.8,63,5598
13679,Very Good,D,63.3,58,5598
13680,Very Good,D,63.5,61,5598
13681,Ideal,E,61.9,56,5598
13682,Premium,E,62.6,58,5599
13683,Good,G,63.6,60,5599
13684,Premium,D,60.7,58,5599
13685,Good,G,63.2,57,5599
13686,Good,G,63.9,54,5599
13687,Ideal,E,62.4,56,5599
13688,Premium,E,62.9,58,5599
13689,Ideal,E,62.6,57,5599
13690,Ideal,E,62.1,54,5599
13691,Premium,E,62.8,57,5599
13692,Premium,F,61.9,56,5599
13693,Premium,E,62.8,59,5599
13694,Premium,E,62.9,60,5599
13695,Very Good,G,63.3,60,5600
13696,Very Good,G,61.8,59,5600
13697,Very Good,D,59,59,5600
13698,Ideal,I,62.1,58,5600
13699,Good,G,63.4,61,5600
13700,Good,I,64.8,58,5600
13701,Premium,G,60.9,58,5600
13702,Premium,E,61.6,59,5600
13703,Good,G,61.4,65,5601
13704,Very Good,H,63.8,57,5601
13705,Good,E,57.5,59,5601
13706,Good,J,64.1,57,5601
13707,Premium,H,62.6,56,5601
13708,Ideal,E,61.5,56,5602
13709,Good,F,62.1,61,5602
13710,Premium,I,61.3,58,5602
13711,Ideal,H,60.7,58,603
13712,Ideal,H,62,54,603
13713,Ideal,H,61.7,55,603
13714,Ideal,E,62.3,56,603
13715,Ideal,E,62,57,603
13716,Ideal,E,61.8,57,603
13717,Ideal,E,62,53,603
13718,Ideal,E,60.6,59,603
13719,Ideal,I,60.8,56,603
13720,Ideal,F,62.3,56,603
13721,Ideal,G,61.2,56,603
13722,Ideal,F,62.6,57,603
13723,Ideal,E,61.5,55,603
13724,Good,G,56.7,64,603
13725,Good,E,59.7,63,603
13726,Premium,E,60.2,59,603
13727,Ideal,E,62.7,55,603
13728,Ideal,E,61.6,57,603
13729,Ideal,E,61.6,56,603
13730,Premium,E,61.5,58,603
13731,Ideal,E,61.6,55,603
13732,Premium,D,62,57,603
13733,Premium,F,60.9,58,603
13734,Very Good,E,60.2,58,604
13735,Very Good,F,61.8,55,604
13736,Ideal,G,61.7,55.9,604
13737,Ideal,G,61.4,56.1,604
13738,Ideal,F,60.6,57,604
13739,Premium,F,59,58,604
13740,Ideal,J,62.2,55,604
13741,Premium,I,62.7,58,5602
13742,Ideal,I,60.8,57,5602
13743,Ideal,H,61.7,56,5602
13744,Ideal,H,61,57,5602
13745,Ideal,I,61.7,57,5602
13746,Very Good,J,59.3,57,5604
13747,Ideal,J,61.8,56.2,5604
13748,Very Good,D,61.5,58,5605
13749,Good,D,63.7,58,5605
13750,Good,F,62.9,64,5606
13751,Premium,D,58.8,61,5606
13752,Ideal,J,61.6,56.1,5606
13753,Premium,F,59.9,60,5606
13754,Premium,F,61.9,59,5606
13755,Good,F,64.2,58,5606
13756,Premium,J,61.8,55,5607
13757,Very Good,G,63,57,5607
13758,Fair,J,66.7,56,5607
13759,Ideal,J,61.6,58,5607
13760,Ideal,E,62,53,5608
13761,Very Good,G,63.1,57,5609
13762,Ideal,H,61,57,5610
13763,Ideal,G,61.6,56,5610
13764,Good,I,59.2,65,5610
13765,Premium,H,62.5,58,5611
13766,Very Good,I,63.5,55,5612
13767,Premium,E,62.2,56,5612
13768,Premium,I,63,58,5612
13769,Very Good,J,61.1,61,5613
13770,Ideal,H,62.6,58,5613
13771,Ideal,F,62.2,57,5613
13772,Very Good,H,63.3,56,5614
13773,Ideal,D,62.5,56,5615
13774,Very Good,E,61.4,58,5616
13775,Good,F,64.2,54,5616
13776,Fair,D,64.7,56,5617
13777,Premium,I,61.8,58,5617
13778,Premium,J,62.6,59,5618
13779,Premium,J,60.4,59,5618
13780,Premium,D,58.9,59,5618
13781,Very Good,H,64.2,53,5619
13782,Very Good,D,61.1,58,5619
13783,Premium,G,62.5,60,5620
13784,Premium,E,62.5,58,5620
13785,Very Good,H,59.9,59,5620
13786,Premium,E,61.1,58,5620
13787,Premium,G,59.8,61,5620
13788,Premium,F,62.5,60,5621
13789,Very Good,D,59.2,62,5621
13790,Very Good,D,62.2,58,5621
13791,Good,G,63.1,58,5621
13792,Very Good,F,58.8,60,5622
13793,Very Good,D,63.3,57,5622
13794,Ideal,E,62.7,57,5622
13795,Premium,I,61.7,58,5622
13796,Premium,H,61.2,60,5622
13797,Fair,H,64.4,58,5622
13798,Ideal,G,61,57,5622
13799,Very Good,G,60.6,60,5623
13800,Premium,J,63,58,5624
13801,Premium,H,62.5,59,5624
13802,Premium,H,62,59,5624
13803,Ideal,H,62.6,56,5624
13804,Fair,E,65.1,58,5624
13805,Ideal,I,62.4,57,5624
13806,Very Good,H,61.7,56,5625
13807,Ideal,H,61.8,56,5625
13808,Fair,H,64.5,58,5625
13809,Ideal,I,62.1,55,5626
13810,Ideal,F,62.9,54,5626
13811,Very Good,H,61.9,58,5627
13812,Very Good,E,63,57,5627
13813,Good,E,58.1,59,5627
13814,Very Good,J,60.4,60,5628
13815,Very Good,J,61.8,58,5628
13816,Fair,D,62.6,57,5628
13817,Premium,E,62.5,59,5628
13818,Ideal,E,60.1,62,5629
13819,Good,E,64.3,57,5630
13820,Ideal,H,59.6,57,5631
13821,Premium,H,61,55,5631
13822,Premium,G,59.3,59,5632
13823,Premium,I,61.6,58,5632
13824,Ideal,H,64,58,5632
13825,Fair,G,64.9,58,5633
13826,Very Good,E,63.5,56,5633
13827,Ideal,I,62.5,56,5634
13828,Ideal,F,60.6,58,5635
13829,Ideal,H,62.2,55,5636
13830,Very Good,H,61.6,54,5637
13831,Very Good,H,61.2,62,5637
13832,Premium,J,62.2,58,5637
13833,Very Good,H,60.7,58,5638
13834,Ideal,I,62.4,57,5638
13835,Very Good,F,63.1,58,5638
13836,Ideal,D,62.8,55,5639
13837,Very Good,G,61.4,60,5640
13838,Ideal,F,62,55,5640
13839,Premium,E,62.5,57,5640
13840,Premium,F,62.5,58,5641
13841,Premium,H,60.2,60,5641
13842,Ideal,H,61.4,54,5641
13843,Good,D,64.2,56,5642
13844,Premium,E,58.5,60,5642
13845,Premium,D,61.8,58,5643
13846,Very Good,I,59.9,61,5644
13847,Premium,D,61.5,61,5644
13848,Good,G,63.7,59,5645
13849,Fair,H,65.5,58,5645
13850,Very Good,E,63.3,55,5645
13851,Good,G,64,56,5645
13852,Very Good,G,63.2,58,5645
13853,Good,D,63.6,56,5645
13854,Premium,E,62.6,59,5645
13855,Ideal,I,62.4,56,5645
13856,Premium,G,62,62,5645
13857,Premium,F,61.9,60,5645
13858,Premium,D,60.3,60,5645
13859,Premium,I,62.6,61,5645
13860,Very Good,D,63.1,56,5645
13861,Very Good,D,63.1,56,5645
13862,Very Good,H,62.4,56,5646
13863,Good,H,63.1,56,5646
13864,Good,E,64,56,5646
13865,Premium,E,61,59,5646
13866,Ideal,J,60.9,58,5646
13867,Ideal,F,62.3,58,5646
13868,Good,E,63.6,60,5647
13869,Premium,H,62.1,61,5648
13870,Premium,I,59.6,60,5648
13871,Ideal,D,61.6,55,5648
13872,Ideal,J,61.5,55,5649
13873,Premium,I,62.9,58,5649
13874,Premium,G,62.3,59,5650
13875,Premium,H,61.4,61,5650
13876,Premium,H,62,57,5650
13877,Premium,F,62.8,57,5650
13878,Very Good,F,63.5,58,5650
13879,Ideal,D,61.4,56,5650
13880,Ideal,G,62.2,56,5650
13881,Ideal,I,61.2,57,5651
13882,Very Good,I,60.9,58,5652
13883,Premium,H,61.4,58,5652
13884,Very Good,G,62.1,57,5653
13885,Ideal,J,62.1,57,5653
13886,Premium,D,63,59,5653
13887,Ideal,D,62.4,57,5653
13888,Ideal,G,60.8,57,5653
13889,Very Good,I,62.6,58,5654
13890,Very Good,D,63.2,58,5654
13891,Premium,G,61.6,58,5654
13892,Ideal,F,62.1,57,5655
13893,Ideal,I,61.5,60,5655
13894,Good,G,60.3,57,5655
13895,Ideal,E,62.2,57,5655
13896,Premium,E,59.2,56,5655
13897,Very Good,D,62,57,5656
13898,Premium,D,62.2,53,5656
13899,Ideal,D,62.4,55,5656
13900,Premium,E,59.2,60,5656
13901,Ideal,F,63,56,5656
